Size,Swaps,Pattern
3,0,0 1 2
3,1,0 2 1
3,2,1 2 0
3,3,2 1 0
4,0,0 1 2 3
4,1,0 1 3 2
4,2,1 0 3 2
4,3,3 0 1 2
4,4,1 3 2 0
4,5,2 3 1 0
4,6,3 2 1 0
5,0,0 1 2 3 4
5,1,0 1 2 4 3
5,2,0 1 3 4 2
5,3,0 1 4 3 2
5,4,0 2 4 3 1
5,5,0 3 4 2 1
5,6,0 4 3 2 1
5,7,1 4 3 2 0
5,8,2 4 3 1 0
5,9,3 4 2 1 0
5,10,4 3 2 1 0
6,0,0 1 2 3 4 5
6,1,0 1 2 3 5 4
6,2,0 1 2 4 5 3
6,3,1 0 2 5 3 4
6,4,0 1 3 5 4 2
6,5,0 1 4 5 3 2
6,6,0 1 5 4 3 2
6,7,0 2 5 4 3 1
6,8,0 3 5 4 2 1
6,9,0 4 5 3 2 1
6,10,0 5 4 3 2 1
6,11,3 4 2 5 1 0
6,12,2 5 4 3 1 0
6,13,3 5 4 2 1 0
6,14,4 5 3 2 1 0
6,15,5 4 3 2 1 0
7,0,0 1 2 3 4 5 6
7,1,0 1 2 3 4 6 5
7,2,0 1 2 3 5 6 4
7,3,0 1 2 3 6 5 4
7,4,0 1 2 4 6 5 3
7,5,0 1 2 5 6 4 3
7,6,0 1 2 6 5 4 3
7,7,0 1 3 6 5 4 2
7,8,0 1 4 6 5 3 2
7,9,0 1 5 6 4 3 2
7,10,0 1 6 5 4 3 2
7,11,0 2 6 5 4 3 1
7,12,0 3 6 5 4 2 1
7,13,0 4 6 5 3 2 1
7,14,0 5 6 4 3 2 1
7,15,0 6 5 4 3 2 1
7,16,1 6 5 4 3 2 0
7,17,2 6 5 4 3 1 0
7,18,3 6 5 4 2 1 0
7,19,4 6 5 3 2 1 0
7,20,5 6 4 3 2 1 0
7,21,6 5 4 3 2 1 0
8,0,0 1 2 3 4 5 6 7
8,1,0 1 2 3 4 5 7 6
8,2,0 1 2 3 4 6 7 5
8,3,0 1 2 3 4 7 6 5
8,4,0 1 2 3 5 7 6 4
8,5,0 2 5 3 1 4 6 7
8,6,0 1 2 3 7 6 5 4
8,7,0 1 2 4 7 6 5 3
8,8,0 1 2 5 7 6 4 3
8,9,0 1 2 6 7 5 4 3
8,10,0 1 2 7 6 5 4 3
8,11,0 1 3 7 6 5 4 2
8,12,0 1 4 7 6 5 3 2
8,13,0 1 5 7 6 4 3 2
8,14,0 1 6 7 5 4 3 2
8,15,0 1 7 6 5 4 3 2
8,16,0 2 7 6 5 4 3 1
8,17,0 3 7 6 5 4 2 1
8,18,0 4 7 6 5 3 2 1
8,19,0 5 7 6 4 3 2 1
8,20,0 6 7 5 4 3 2 1
8,21,0 7 6 5 4 3 2 1
8,22,1 7 6 5 4 3 2 0
8,23,2 7 6 5 4 3 1 0
8,24,3 7 6 5 4 2 1 0
8,25,4 7 6 5 3 2 1 0
8,26,5 7 6 4 3 2 1 0
8,27,6 7 5 4 3 2 1 0
8,28,7 6 5 4 3 2 1 0
9,0,0 1 2 3 4 5 6 7 8
9,1,0 1 2 3 4 5 6 8 7
9,2,0 1 2 3 4 5 7 8 6
9,3,0 1 2 3 4 5 8 7 6
9,4,0 1 2 3 4 6 8 7 5
9,5,0 1 2 3 4 7 8 6 5
9,6,0 1 2 3 4 8 7 6 5
9,7,0 1 2 3 5 8 7 6 4
9,8,0 1 2 3 6 8 7 5 4
9,9,0 1 2 3 7 8 6 5 4
9,10,0 1 2 3 8 7 6 5 4
9,11,0 1 2 4 8 7 6 5 3
9,12,0 1 2 5 8 7 6 4 3
9,13,0 1 2 6 8 7 5 4 3
9,14,0 1 2 7 8 6 5 4 3
9,15,0 1 2 8 7 6 5 4 3
9,16,0 1 3 8 7 6 5 4 2
9,17,0 1 4 8 7 6 5 3 2
9,18,0 1 5 8 7 6 4 3 2
9,19,0 1 6 8 7 5 4 3 2
9,20,0 1 7 8 6 5 4 3 2
9,21,0 1 8 7 6 5 4 3 2
9,22,0 2 8 7 6 5 4 3 1
9,23,0 3 8 7 6 5 4 2 1
9,24,0 4 8 7 6 5 3 2 1
9,25,0 5 8 7 6 4 3 2 1
9,26,0 6 8 7 5 4 3 2 1
9,27,0 7 8 6 5 4 3 2 1
9,28,0 8 7 6 5 4 3 2 1
9,29,1 8 7 6 5 4 3 2 0
9,30,2 8 7 6 5 4 3 1 0
9,31,3 8 7 6 5 4 2 1 0
9,32,4 8 7 6 5 3 2 1 0
9,33,5 8 7 6 4 3 2 1 0
9,34,6 8 7 5 4 3 2 1 0
9,35,7 8 6 5 4 3 2 1 0
9,36,8 7 6 5 4 3 2 1 0
10,0,0 1 2 3 4 5 6 7 8 9
10,1,0 1 2 3 4 5 6 7 9 8
10,2,0 1 2 3 4 5 6 8 9 7
10,3,0 1 2 3 4 5 6 9 8 7
10,4,0 1 2 3 4 5 7 9 8 6
10,5,0 1 2 3 4 5 8 9 7 6
10,6,0 1 2 3 4 5 9 8 7 6
10,7,0 1 2 3 4 6 9 8 7 5
10,8,0 1 2 3 4 7 9 8 6 5
10,9,0 1 2 3 4 8 9 7 6 5
10,10,0 1 2 3 4 9 8 7 6 5
10,11,0 1 2 3 5 9 8 7 6 4
10,12,0 1 2 3 6 9 8 7 5 4
10,13,0 1 2 3 7 9 8 6 5 4
10,14,0 1 2 3 8 9 7 6 5 4
10,15,0 1 2 3 9 8 7 6 5 4
10,16,0 1 2 4 9 8 7 6 5 3
10,17,0 1 2 5 9 8 7 6 4 3
10,18,0 1 2 6 9 8 7 5 4 3
10,19,0 1 2 7 9 8 6 5 4 3
10,20,0 1 2 8 9 7 6 5 4 3
10,21,0 1 2 9 8 7 6 5 4 3
10,22,0 1 3 9 8 7 6 5 4 2
10,23,0 1 4 9 8 7 6 5 3 2
10,24,0 1 5 9 8 7 6 4 3 2
10,25,0 1 6 9 8 7 5 4 3 2
10,26,0 1 7 9 8 6 5 4 3 2
10,27,0 1 8 9 7 6 5 4 3 2
10,28,0 1 9 8 7 6 5 4 3 2
10,29,0 2 9 8 7 6 5 4 3 1
10,30,0 3 9 8 7 6 5 4 2 1
10,31,0 4 9 8 7 6 5 3 2 1
10,32,0 5 9 8 7 6 4 3 2 1
10,33,0 6 9 8 7 5 4 3 2 1
10,34,0 7 9 8 6 5 4 3 2 1
10,35,0 8 9 7 6 5 4 3 2 1
10,36,0 9 8 7 6 5 4 3 2 1
10,37,1 9 8 7 6 5 4 3 2 0
10,38,2 9 8 7 6 5 4 3 1 0
10,39,3 9 8 7 6 5 4 2 1 0
10,40,4 9 8 7 6 5 3 2 1 0
10,41,5 9 8 7 6 4 3 2 1 0
10,42,6 9 8 7 5 4 3 2 1 0
10,43,7 9 8 6 5 4 3 2 1 0
10,44,8 9 7 6 5 4 3 2 1 0
10,45,9 8 7 6 5 4 3 2 1 0
11,0,0 1 2 3 4 5 6 7 8 9 10
11,1,0 1 2 3 4 5 6 7 8 10 9
11,2,0 1 2 3 4 5 6 7 9 10 8
11,3,0 1 2 3 4 5 6 7 10 9 8
11,4,0 1 2 3 4 5 6 8 10 9 7
11,5,0 1 2 3 4 5 6 9 10 8 7
11,6,0 1 2 3 4 5 6 10 9 8 7
11,7,0 1 2 3 4 5 7 10 9 8 6
11,8,0 1 2 3 4 5 8 10 9 7 6
11,9,0 1 2 3 4 5 9 10 8 7 6
11,10,0 1 2 3 4 5 10 9 8 7 6
11,11,0 1 2 3 4 6 10 9 8 7 5
11,12,0 1 2 3 4 7 10 9 8 6 5
11,13,0 1 2 3 4 8 10 9 7 6 5
11,14,0 1 2 3 4 9 10 8 7 6 5
11,15,0 1 2 3 4 10 9 8 7 6 5
11,16,0 1 2 3 5 10 9 8 7 6 4
11,17,0 1 2 3 6 10 9 8 7 5 4
11,18,0 1 2 3 7 10 9 8 6 5 4
11,19,3 10 2 0 6 1 4 7 8 5 9
11,20,7 0 5 2 8 1 6 3 9 10 4
11,21,0 1 2 3 10 9 8 7 6 5 4
11,22,0 1 2 4 10 9 8 7 6 5 3
11,23,0 1 2 5 10 9 8 7 6 4 3
11,24,0 1 2 6 10 9 8 7 5 4 3
11,25,7 2 3 10 1 5 6 4 8 0 9
11,26,0 1 2 8 10 9 7 6 5 4 3
11,27,0 1 2 9 10 8 7 6 5 4 3
11,28,0 1 2 10 9 8 7 6 5 4 3
11,29,0 1 3 10 9 8 7 6 5 4 2
11,30,0 1 4 10 9 8 7 6 5 3 2
11,31,0 1 5 10 9 8 7 6 4 3 2
11,32,0 1 6 10 9 8 7 5 4 3 2
11,33,0 1 7 10 9 8 6 5 4 3 2
11,34,0 1 8 10 9 7 6 5 4 3 2
11,35,0 1 9 10 8 7 6 5 4 3 2
11,36,0 1 10 9 8 7 6 5 4 3 2
11,37,0 2 10 9 8 7 6 5 4 3 1
11,38,0 3 10 9 8 7 6 5 4 2 1
11,39,0 4 10 9 8 7 6 5 3 2 1
11,40,0 5 10 9 8 7 6 4 3 2 1
11,41,0 6 10 9 8 7 5 4 3 2 1
11,42,0 7 10 9 8 6 5 4 3 2 1
11,43,0 8 10 9 7 6 5 4 3 2 1
11,44,0 9 10 8 7 6 5 4 3 2 1
11,45,0 10 9 8 7 6 5 4 3 2 1
11,46,1 10 9 8 7 6 5 4 3 2 0
11,47,2 10 9 8 7 6 5 4 3 1 0
11,48,3 10 9 8 7 6 5 4 2 1 0
11,49,4 10 9 8 7 6 5 3 2 1 0
11,50,5 10 9 8 7 6 4 3 2 1 0
12,0,0 1 2 3 4 5 6 7 8 9 10 11
12,1,0 1 2 3 4 5 6 7 8 9 11 10
12,2,0 1 2 3 4 5 6 7 8 10 11 9
12,3,0 1 2 3 4 5 6 7 8 11 10 9
12,4,0 1 2 3 4 5 6 7 9 11 10 8
12,5,0 1 2 3 4 5 6 7 10 11 9 8
12,6,0 1 2 3 4 5 6 7 11 10 9 8
12,7,0 1 2 3 4 5 6 8 11 10 9 7
12,8,0 1 2 3 4 5 6 9 11 10 8 7
12,9,0 1 2 3 4 5 6 10 11 9 8 7
12,10,0 1 2 3 4 5 6 11 10 9 8 7
12,11,0 1 2 3 4 5 7 11 10 9 8 6
12,12,0 1 2 3 4 5 8 11 10 9 7 6
12,13,0 1 2 3 4 5 9 11 10 8 7 6
12,14,0 1 2 3 4 5 10 11 9 8 7 6
12,15,0 1 2 3 4 5 11 10 9 8 7 6
12,16,0 1 2 3 4 6 11 10 9 8 7 5
12,17,0 1 2 3 4 7 11 10 9 8 6 5
12,18,0 1 2 3 4 8 11 10 9 7 6 5
12,19,0 1 2 3 4 9 11 10 8 7 6 5
12,20,0 1 2 3 4 10 11 9 8 7 6 5
12,21,0 1 2 3 4 11 10 9 8 7 6 5
12,22,0 1 2 3 5 11 10 9 8 7 6 4
12,23,0 1 2 3 6 11 10 9 8 7 5 4
12,24,0 1 2 3 7 11 10 9 8 6 5 4
12,25,0 1 2 3 8 11 10 9 7 6 5 4
12,26,0 1 2 3 9 11 10 8 7 6 5 4
12,27,0 1 2 3 10 11 9 8 7 6 5 4
12,28,0 1 2 3 11 10 9 8 7 6 5 4
12,29,0 1 2 4 11 10 9 8 7 6 5 3
12,30,0 1 2 5 11 10 9 8 7 6 4 3
12,31,0 1 2 6 11 10 9 8 7 5 4 3
12,32,0 1 2 7 11 10 9 8 6 5 4 3
12,33,0 1 2 8 11 10 9 7 6 5 4 3
12,34,0 1 2 9 11 10 8 7 6 5 4 3
12,35,0 1 2 10 11 9 8 7 6 5 4 3
12,36,0 1 2 11 10 9 8 7 6 5 4 3
12,37,0 1 3 11 10 9 8 7 6 5 4 2
12,38,0 1 4 11 10 9 8 7 6 5 3 2
12,39,0 1 5 11 10 9 8 7 6 4 3 2
12,40,0 1 6 11 10 9 8 7 5 4 3 2
12,41,0 1 7 11 10 9 8 6 5 4 3 2
12,42,0 1 8 11 10 9 7 6 5 4 3 2
12,43,0 1 9 11 10 8 7 6 5 4 3 2
12,44,0 1 10 11 9 8 7 6 5 4 3 2
12,45,0 1 11 10 9 8 7 6 5 4 3 2
12,46,0 2 11 10 9 8 7 6 5 4 3 1
12,47,0 3 11 10 9 8 7 6 5 4 2 1
12,48,0 4 11 10 9 8 7 6 5 3 2 1
12,49,0 5 11 10 9 8 7 6 4 3 2 1
12,50,0 6 11 10 9 8 7 5 4 3 2 1
13,0,0 1 2 3 4 5 6 7 8 9 10 11 12
13,1,0 1 2 3 4 5 6 7 8 9 10 12 11
13,2,0 1 2 3 4 5 6 7 8 9 11 12 10
13,3,0 1 2 3 4 5 6 7 8 9 12 11 10
13,4,0 1 2 3 4 5 6 7 8 10 12 11 9
13,5,0 1 2 3 4 5 6 7 8 11 12 10 9
13,6,0 1 2 3 4 5 6 7 8 12 11 10 9
13,7,0 1 2 3 4 5 6 7 9 12 11 10 8
13,8,0 1 2 3 4 5 6 7 10 12 11 9 8
13,9,0 1 2 3 4 5 6 7 11 12 10 9 8
13,10,0 1 2 3 4 5 6 7 12 11 10 9 8
13,11,0 1 2 3 4 5 6 8 12 11 10 9 7
13,12,0 1 2 3 4 5 6 9 12 11 10 8 7
13,13,0 1 2 3 4 5 6 10 12 11 9 8 7
13,14,0 1 2 3 4 5 6 11 12 10 9 8 7
13,15,0 1 2 3 4 5 6 12 11 10 9 8 7
13,16,0 1 2 3 4 5 7 12 11 10 9 8 6
13,17,0 1 2 3 4 5 8 12 11 10 9 7 6
13,18,0 1 2 3 4 5 9 12 11 10 8 7 6
13,19,0 1 2 3 4 5 10 12 11 9 8 7 6
13,20,0 1 2 3 4 5 11 12 10 9 8 7 6
13,21,0 1 2 3 4 5 12 11 10 9 8 7 6
13,22,0 1 2 3 4 6 12 11 10 9 8 7 5
13,23,0 1 2 3 4 7 12 11 10 9 8 6 5
13,24,0 1 2 3 4 8 12 11 10 9 7 6 5
13,25,0 1 2 3 4 9 12 11 10 8 7 6 5
13,26,0 1 2 3 4 10 12 11 9 8 7 6 5
13,27,0 1 2 3 4 11 12 10 9 8 7 6 5
13,28,0 1 2 3 4 12 11 10 9 8 7 6 5
13,29,0 1 2 3 5 12 11 10 9 8 7 6 4
13,30,0 1 2 3 6 12 11 10 9 8 7 5 4
13,31,0 1 2 3 7 12 11 10 9 8 6 5 4
13,32,0 1 2 3 8 12 11 10 9 7 6 5 4
13,33,0 1 2 3 9 12 11 10 8 7 6 5 4
13,34,0 1 2 3 10 12 11 9 8 7 6 5 4
13,35,0 1 2 3 11 12 10 9 8 7 6 5 4
13,36,0 1 2 3 12 11 10 9 8 7 6 5 4
13,37,0 1 2 4 12 11 10 9 8 7 6 5 3
13,38,0 1 2 5 12 11 10 9 8 7 6 4 3
13,39,0 1 2 6 12 11 10 9 8 7 5 4 3
13,40,0 1 2 7 12 11 10 9 8 6 5 4 3
13,41,0 1 2 8 12 11 10 9 7 6 5 4 3
13,42,0 1 2 9 12 11 10 8 7 6 5 4 3
13,43,0 1 2 10 12 11 9 8 7 6 5 4 3
13,44,0 1 2 11 12 10 9 8 7 6 5 4 3
13,45,0 1 2 12 11 10 9 8 7 6 5 4 3
13,46,0 1 3 12 11 10 9 8 7 6 5 4 2
13,47,0 1 4 12 11 10 9 8 7 6 5 3 2
13,48,0 1 5 12 11 10 9 8 7 6 4 3 2
13,49,0 1 6 12 11 10 9 8 7 5 4 3 2
13,50,0 1 7 12 11 10 9 8 6 5 4 3 2
14,0,0 1 2 3 4 5 6 7 8 9 10 11 12 13
14,1,0 1 2 3 4 5 6 7 8 9 10 11 13 12
14,2,0 1 2 3 4 5 6 7 8 9 10 12 13 11
14,3,0 1 2 3 4 5 6 7 8 9 10 13 12 11
14,4,0 1 2 3 4 5 6 7 8 9 11 13 12 10
